Time,X Position,Y Position,X Error,Y Error
1744157432.1621702,476,129,156,-111,"
"
1744157432.193305,477,125,157,-115,"
"
1744157432.2322736,477,124,157,-116,"
"
1744157432.2616372,480,123,160,-117,"
"
1744157432.295157,480,123,160,-117,"
"
1744157432.3305666,477,125,157,-115,"
"
1744157432.3632584,474,125,154,-115,"
"
1744157432.393851,468,119,148,-121,"
"
1744157432.4300325,464,112,144,-128,"
"
1744157432.462119,463,109,143,-131,"
"
1744157432.494039,463,111,143,-129,"
"
1744157432.5293465,463,112,143,-128,"
"
1744157432.5619886,463,111,143,-129,"
"
1744157432.5933595,463,112,143,-128,"
"
1744157432.6300387,463,112,143,-128,"
"
1744157432.661379,463,112,143,-128,"
"
1744157432.6952066,463,112,143,-128,"
"
1744157432.7297547,463,112,143,-128,"
"
1744157432.7622776,463,112,143,-128,"
"
1744157432.7940707,463,112,143,-128,"
"
1744157432.8300269,463,112,143,-128,"
"
1744157432.8614786,463,112,143,-128,"
"
1744157432.8940618,463,112,143,-128,"
"
1744157432.930332,463,112,143,-128,"
"
1744157432.9620006,463,112,143,-128,"
"
1744157432.993455,463,112,143,-128,"
"
1744157433.0301135,463,112,143,-128,"
"
1744157433.0614548,464,112,144,-128,"
"
1744157433.0941596,464,113,144,-127,"
"
1744157433.130218,464,112,144,-128,"
"
1744157433.1636553,464,113,144,-127,"
"
1744157433.1942573,464,113,144,-127,"
"
1744157433.2301035,464,113,144,-127,"
"
1744157433.2626333,464,113,144,-127,"
"
1744157433.2941728,464,112,144,-128,"
"
1744157433.3294494,464,113,144,-127,"
"
1744157433.3621361,464,113,144,-127,"
"
1744157433.3939288,464,112,144,-128,"
"
1744157433.4301844,464,112,144,-128,"
"
1744157433.4615505,464,113,144,-127,"
"
1744157433.4942198,464,112,144,-128,"
"
1744157433.5306995,464,113,144,-127,"
"
1744157433.5622041,464,112,144,-128,"
"
1744157433.5935524,464,112,144,-128,"
"
1744157433.631006,464,113,144,-127,"
"
1744157433.661855,464,112,144,-128,"
"
1744157433.6950293,464,113,144,-127,"
"
1744157433.7295291,464,113,144,-127,"
"
1744157433.7621522,464,113,144,-127,"
"
1744157433.7935371,464,113,144,-127,"
"
1744157433.8301897,464,112,144,-128,"
"
1744157433.8614714,463,113,143,-127,"
"
1744157433.8942459,463,113,143,-127,"
"
1744157433.9295793,463,113,143,-127,"
"
1744157433.9638846,464,113,144,-127,"
"
1744157433.9936554,464,113,144,-127,"
"
1744157434.0317953,464,113,144,-127,"
"
1744157434.061952,464,113,144,-127,"
"
1744157434.0946636,464,113,144,-127,"
"
1744157434.1296766,464,113,144,-127,"
"
1744157434.1623101,463,113,143,-127,"
"
1744157434.1936302,463,113,143,-127,"
"
1744157434.2303424,463,113,143,-127,"
"
1744157434.2615883,463,113,143,-127,"
"
1744157434.294298,463,113,143,-127,"
"
1744157434.3296387,463,113,143,-127,"
"
1744157434.3622668,463,113,143,-127,"
"
1744157434.3936713,463,113,143,-127,"
"
1744157434.4312253,463,113,143,-127,"
"
1744157434.461653,463,113,143,-127,"
"
1744157434.4943929,463,113,143,-127,"
"
1744157434.5302799,463,113,143,-127,"
"
1744157434.563184,463,113,143,-127,"
"
1744157434.5943043,463,113,143,-127,"
"
1744157434.630329,463,113,143,-127,"
"
1744157434.661696,463,113,143,-127,"
"
1744157434.6943872,463,113,143,-127,"
"
1744157434.7296917,463,113,143,-127,"
"
1744157434.7623222,464,113,144,-127,"
"
1744157434.7937152,464,113,144,-127,"
"
1744157434.8304381,464,113,144,-127,"
"
1744157434.8617113,464,113,144,-127,"
"
1744157434.8944528,464,113,144,-127,"
"
1744157434.9297657,464,113,144,-127,"
"
1744157434.9623544,464,113,144,-127,"
"
1744157434.9937882,464,113,144,-127,"
"
1744157435.031764,464,113,144,-127,"
"
1744157435.0627723,464,114,144,-126,"
"
1744157435.0952327,464,113,144,-127,"
"
1744157435.1307483,465,114,145,-126,"
"
1744157435.1624036,464,113,144,-127,"
"
1744157435.1937392,464,113,144,-127,"
"
1744157435.23052,464,113,144,-127,"
"
1744157435.2629273,464,113,144,-127,"
"
1744157435.2944834,465,114,145,-126,"
"
1744157435.3307216,464,113,144,-127,"
"
1744157435.3636925,464,113,144,-127,"
"
1744157435.3938172,464,113,144,-127,"
"
1744157435.4305053,464,113,144,-127,"
"
1744157435.461784,464,113,144,-127,"
"
1744157435.4944909,464,113,144,-127,"
"
1744157435.5355566,464,113,144,-127,"
"
1744157435.5630078,464,113,144,-127,"
"
1744157435.5953,464,113,144,-127,"
"
1744157435.6304584,463,113,143,-127,"
"
1744157435.6617615,464,113,144,-127,"
"
1744157435.6945705,464,113,144,-127,"
"
1744157435.7298534,463,113,143,-127,"
"
1744157435.762451,464,113,144,-127,"
"
1744157435.79384,464,113,144,-127,"
"
1744157435.8305142,464,113,144,-127,"
"
1744157435.8617997,464,113,144,-127,"
"
1744157435.8945434,463,113,143,-127,"
"
1744157435.9307435,464,113,144,-127,"
"
1744157435.962614,463,113,143,-127,"
"
1744157435.9949727,463,113,143,-127,"
"
1744157436.030523,464,113,144,-127,"
"
1744157436.0618348,464,113,144,-127,"
"
1744157436.0953295,464,113,144,-127,"
"
1744157436.1300275,463,113,143,-127,"
"
1744157436.1625805,463,113,143,-127,"
"
1744157436.1939175,463,113,143,-127,"
"
1744157436.230618,463,113,143,-127,"
"
1744157436.2627358,463,113,143,-127,"
"
1744157436.2945936,463,113,143,-127,"
"
1744157436.330525,463,113,143,-127,"
"
1744157436.3632371,464,113,144,-127,"
"
1744157436.3942964,463,113,143,-127,"
"
1744157436.4305594,463,113,143,-127,"
"
1744157436.4618688,464,113,144,-127,"
"
1744157436.494577,463,113,143,-127,"
"
1744157436.529932,463,113,143,-127,"
"
1744157436.5625737,463,113,143,-127,"
"
1744157436.5940554,463,113,143,-127,"
"
1744157436.6308322,463,113,143,-127,"
"
1744157436.6627548,463,113,143,-127,"
"
1744157436.6946628,463,113,143,-127,"
"
1744157436.73104,463,113,143,-127,"
"
1744157436.7631707,463,113,143,-127,"
"
1744157436.7941601,463,113,143,-127,"
"
1744157436.8306084,463,113,143,-127,"
"
1744157436.8619058,463,113,143,-127,"
"
1744157436.8958976,463,113,143,-127,"
"
1744157436.9300551,463,113,143,-127,"
"
1744157436.962604,463,113,143,-127,"
"
1744157436.9940128,463,113,143,-127,"
"
1744157437.0307512,463,113,143,-127,"
"
1744157437.0619745,463,113,143,-127,"
"
1744157437.0947008,463,113,143,-127,"
"
1744157437.1300275,463,113,143,-127,"
"
1744157437.163894,463,113,143,-127,"
"
1744157437.1942513,463,113,143,-127,"
"
1744157437.2311416,463,113,143,-127,"
"
