Time,X Position,Y Position,X Error,Y Error
1744157795.9283535,410,340,90,100
1744157796.2647638,410,340,90,100
1744157796.296292,410,340,90,100
1744157796.3246603,409,341,89,101
1744157796.3508568,403,339,83,99
1744157796.378253,402,327,82,87
1744157796.4024374,402,327,82,87
1744157796.430644,402,327,82,87
1744157796.455863,402,327,82,87
1744157796.478828,402,327,82,87
1744157796.5001183,402,327,82,87
1744157796.5243447,402,327,82,87
1744157796.5592146,402,327,82,87
1744157796.5919867,402,327,82,87
1744157796.624521,402,327,82,87
1744157796.659364,402,327,82,87
1744157796.6914864,402,327,82,87
1744157796.7236454,402,327,82,87
1744157796.759193,402,327,82,87
1744157796.7904143,402,327,82,87
1744157796.8236766,402,327,82,87
1744157796.8588336,402,327,82,87
1744157796.8920124,402,327,82,87
1744157796.9244497,402,326,82,86
1744157796.9592001,402,327,82,87
1744157796.9906209,402,327,82,87
1744157797.0236647,402,327,82,87
1744157797.0585139,402,327,82,87
1744157797.0912383,402,327,82,87
1744157797.1229184,402,327,82,87
1744157797.1592493,402,327,82,87
1744157797.1905391,402,327,82,87
1744157797.2233124,402,327,82,87
1744157797.2586036,402,327,82,87
1744157797.2920744,402,327,82,87
1744157797.3233216,402,327,82,87
1744157797.3595695,402,326,82,86
1744157797.390632,402,327,82,87
1744157797.4242678,402,327,82,87
1744157797.4585683,402,327,82,87
1744157797.4912746,402,327,82,87
1744157797.5230966,402,327,82,87
1744157797.5592642,402,327,82,87
1744157797.5905252,402,327,82,87
1744157797.6245868,402,327,82,87
1744157797.658605,402,327,82,87
1744157797.6912723,402,327,82,87
1744157797.7228997,402,327,82,87
1744157797.7593894,402,327,82,87
1744157797.790616,402,327,82,87
1744157797.8249292,402,327,82,87
1744157797.8587315,402,327,82,87
1744157797.892111,402,327,82,87
1744157797.9236083,402,327,82,87
1744157797.9604125,402,327,82,87
1744157797.9917345,402,327,82,87
1744157798.0237012,402,327,82,87
1744157798.0587146,402,327,82,87
1744157798.091363,402,327,82,87
1744157798.1229806,402,327,82,87
1744157798.1594236,402,327,82,87
1744157798.1907084,402,327,82,87
1744157798.2234051,402,327,82,87
1744157798.2590327,402,327,82,87
1744157798.2917373,402,327,82,87
1744157798.3236275,402,327,82,87
1744157798.3595443,402,327,82,87
1744157798.3906512,402,327,82,87
1744157798.4237604,402,327,82,87
1744157798.4587111,402,327,82,87
1744157798.4914067,402,327,82,87
1744157798.522995,402,326,82,86
1744157798.559467,402,327,82,87
1744157798.5907009,402,327,82,87
1744157798.6236823,402,326,82,86
1744157798.6587384,402,326,82,86
1744157798.692016,402,326,82,86
1744157798.7233639,402,326,82,86
1744157798.759744,401,327,81,87
1744157798.7913747,402,326,82,86
1744157798.8245316,402,326,82,86
1744157798.8587716,402,326,82,86
1744157798.891472,402,326,82,86
1744157798.9228137,402,326,82,86
1744157798.9595222,402,326,82,86
1744157798.9907699,402,326,82,86
1744157799.023635,402,326,82,86
1744157799.0587814,401,327,81,87
1744157799.0915358,402,327,82,87
1744157799.1230705,401,327,81,87
1744157799.159572,402,327,82,87
1744157799.1907794,402,327,82,87
1744157799.223985,402,327,82,87
1744157799.2596598,402,327,82,87
1744157799.2917747,402,327,82,87
1744157799.3237765,402,327,82,87
1744157799.359574,402,327,82,87
1744157799.3908517,402,327,82,87
1744157799.4237854,402,327,82,87
1744157799.4600089,402,327,82,87
1744157799.491556,402,326,82,86
1744157799.522964,402,327,82,87
1744157799.5596442,401,326,81,86
1744157799.5917113,402,327,82,87
1744157799.6237369,402,327,82,87
1744157799.6595056,402,327,82,87
1744157799.6923547,402,327,82,87
1744157799.7235765,402,327,82,87
1744157799.7596364,402,327,82,87
1744157799.790835,402,327,82,87
1744157799.8236706,402,327,82,87
1744157799.858859,402,327,82,87
1744157799.891608,402,327,82,87
1744157799.9242623,402,327,82,87
1744157799.9596798,402,327,82,87
1744157799.9909039,402,327,82,87
1744157800.0245488,402,327,82,87
1744157800.059416,402,327,82,87
1744157800.0920393,402,327,82,87
1744157800.123601,402,327,82,87
1744157800.159748,402,327,82,87
1744157800.1911702,402,326,82,86
1744157800.224235,402,327,82,87
1744157800.2591505,402,327,82,87
1744157800.2916942,402,327,82,87
1744157800.323114,402,327,82,87
1744157800.3597136,402,327,82,87
1744157800.391059,402,327,82,87
1744157800.4237766,402,327,82,87
1744157800.4590986,402,327,82,87
1744157800.4917445,401,327,81,87
1744157800.523116,402,327,82,87
1744157800.561047,402,327,82,87
1744157800.5914505,402,327,82,87
1744157800.6242628,402,327,82,87
1744157800.6590886,402,330,82,90
1744157800.6917527,402,330,82,90
1744157800.7234185,402,330,82,90
1744157800.7597754,402,331,82,91
1744157800.7910485,402,329,82,89
1744157800.8238235,402,329,82,89
1744157800.8591309,402,327,82,87
1744157800.8917446,402,327,82,87
1744157800.9231594,402,327,82,87
1744157800.9597678,402,327,82,87
1744157800.9910913,402,327,82,87
1744157801.0239384,402,327,82,87
1744157801.0599077,402,327,82,87
1744157801.0920036,402,327,82,87
1744157801.1237762,402,327,82,87
1744157801.1597717,402,327,82,87
1744157801.191121,402,327,82,87
1744157801.2239535,401,327,81,87
1744157801.2600164,402,327,82,87
1744157801.2918277,402,327,82,87
1744157801.3232121,402,327,82,87
1744157801.3598847,402,327,82,87
1744157801.3911886,402,327,82,87
1744157801.4239142,401,326,81,86
1744157801.4595702,401,326,81,86
1744157801.4924037,401,326,81,86
1744157801.5237327,401,326,81,86
1744157801.5598419,401,326,81,86
1744157801.5917585,401,326,81,86
1744157801.624695,401,326,81,86
1744157801.6592522,401,326,81,86
1744157801.691917,401,326,81,86
1744157801.7233686,402,327,82,87
1744157801.7599568,401,326,81,86
1744157801.7912269,401,326,81,86
1744157801.8239858,401,326,81,86
1744157801.8592918,401,326,81,86
1744157801.891941,401,326,81,86
1744157801.9232554,401,326,81,86
1744157801.9608405,401,326,81,86
1744157801.991561,402,327,82,87
1744157802.0243247,401,326,81,86
1744157802.0592592,402,327,82,87
1744157802.091907,401,326,81,86
1744157802.12379,401,326,81,86
1744157802.1601462,401,326,81,86
1744157802.191282,401,326,81,86
1744157802.22406,401,326,81,86
1744157802.2593546,401,326,81,86
1744157802.2927892,401,326,81,86
1744157802.3233998,401,326,81,86
1744157802.3599744,401,326,81,86
1744157802.3929808,401,326,81,86
1744157802.4241903,401,326,81,86
1744157802.4600601,401,326,81,86
1744157802.4927506,401,326,81,86
1744157802.5238624,401,326,81,86
1744157802.5600367,401,326,81,86
1744157802.5913234,401,326,81,86
1744157802.6240494,401,326,81,86
1744157802.6593893,401,326,81,86
1744157802.692055,401,326,81,86
1744157802.7234054,401,326,81,86
1744157802.7600324,401,326,81,86
1744157802.7921157,401,326,81,86
1744157802.8240848,401,326,81,86
1744157802.8594153,401,326,81,86
1744157802.8924522,401,326,81,86
1744157802.9235814,402,327,82,87
1744157802.9602616,401,326,81,86
1744157802.9920514,401,326,81,86
1744157803.0250332,401,326,81,86
1744157803.0594306,402,327,82,87
1744157803.092084,402,327,82,87
1744157803.1235044,402,327,82,87
1744157803.160127,402,327,82,87
1744157803.1921308,402,327,82,87
1744157803.2243185,402,327,82,87
